ntasks, speedup
1, 1.000667594521297
2, 1.9432450227185314
3, 2.1503652888356393
4, 3.108031275804407
5, 3.3751433604249708
6, 4.10667452370119
7, 4.5802867447895474
8, 4.981033289506645
9, 5.240888591852887
10, 6.122616209805805
11, 6.402234709249855
12, 6.271919719870746
13, 10.11600020194398
14, 7.122698954882712
15, 7.28962604550896
16, 9.050329963717159
17, 11.924727189956311
18, 8.439552504348988
19, 9.159291438464821
20, 10.142145564896927
25, 11.334772439250466
30, 13.121424547108854
35, 12.110588686624295
40, 13.488251776355835
45, 14.851001326031623
50, 12.403249228704645
55, 13.008691493472043
60, 13.04146826680892
65, 15.254516801100365
70, 14.867224571972235
75, 15.089914995399656
80, 14.747649299374421
85, 13.958862832936259
90, 14.74203044683313
95, 13.902735671028962
100, 14.11184638831471
